AIRLINE,MONTH,DAY_OF_WEEK,TAXI_OUT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY
"American Airlines Inc.",4,3,21,-2,2342,-14
"United Air Lines Inc.",9,5,27,138,867,167
"Southwest Airlines Co.",4,7,8,52,704,47
"Southwest Airlines Co.",5,3,7,68,325,93
"Southwest Airlines Co.",6,2,12,-4,391,-16
"Atlantic Southeast Airlines",9,1,18,-2,429,4
"American Eagle Airlines Inc.",3,1,9,27,273,14
"United Air Lines Inc.",10,5,15,-5,1723,-18
"Skywest Airlines Inc.",10,6,36,3,536,22
"Hawaiian Airlines Inc.",1,7,17,12,2762,5
"Southwest Airlines Co.",5,5,13,-2,1407,-13
"American Airlines Inc.",10,1,15,-3,529,-9
"JetBlue Airways",8,7,20,44,231,47
"American Eagle Airlines Inc.",10,5,15,0,280,-4
"United Air Lines Inc.",10,5,15,5,2565,-25
"American Airlines Inc.",10,7,13,-8,1389,-10
"United Air Lines Inc.",5,5,20,-1,2586,-5
"Delta Air Lines Inc.",6,4,22,-3,393,-2
"Virgin America",7,3,7,-5,447,-5
"Delta Air Lines Inc.",5,1,13,-3,581,-13
"Skywest Airlines Inc.",5,1,22,72,977,67
"Atlantic Southeast Airlines",7,5,25,24,306,39
"Southwest Airlines Co.",5,6,8,-2,672,-15
"American Airlines Inc.",10,4,22,9,930,7
"American Airlines Inc.",6,4,12,137,2586,112
"American Eagle Airlines Inc.",10,5,17,-3,773,-18
"Southwest Airlines Co.",7,6,9,35,1242,54
"Delta Air Lines Inc.",7,3,22,10,666,5
"Skywest Airlines Inc.",8,5,20,8,298,2
"United Air Lines Inc.",5,1,12,-4,2434,-22
"American Airlines Inc.",7,2,11,-5,1773,11
"American Airlines Inc.",12,6,17,-3,338,-4
"JetBlue Airways",9,2,15,0,2611,-9
"American Airlines Inc.",11,4,24,3,930,10
"Delta Air Lines Inc.",6,4,15,-1,748,-2
"Delta Air Lines Inc.",9,2,19,-2,341,-14
"Southwest Airlines Co.",4,7,9,-4,843,-12
"Skywest Airlines Inc.",2,1,12,-4,74,-10
"Southwest Airlines Co.",8,7,26,5,919,2
"Southwest Airlines Co.",7,1,6,44,551,27
"Delta Air Lines Inc.",2,5,37,1,526,0
"Southwest Airlines Co.",8,4,10,44,523,35
"Virgin America",2,1,13,-1,414,1
"Southwest Airlines Co.",8,4,8,9,371,8
"American Eagle Airlines Inc.",5,7,5,3,630,-3
"Southwest Airlines Co.",7,2,7,2,786,-2
"American Airlines Inc.",11,4,14,-6,255,-11
"Skywest Airlines Inc.",10,4,17,-5,316,-11
"Skywest Airlines Inc.",3,1,11,5,308,14
"Atlantic Southeast Airlines",6,6,13,20,438,25
"American Airlines Inc.",2,7,25,23,802,34
"Southwest Airlines Co.",9,1,7,-5,991,-9
"American Eagle Airlines Inc.",12,3,11,20,175,7
"Southwest Airlines Co.",12,6,8,-1,793,5
"Delta Air Lines Inc.",5,3,56,8,714,35
"Delta Air Lines Inc.",6,6,15,7,250,-1
"Spirit Air Lines",4,6,11,65,689,55
"Southwest Airlines Co.",8,6,6,-6,255,-11
"American Airlines Inc.",6,7,14,39,1121,36
"Delta Air Lines Inc.",1,4,20,1,2248,-54
"Delta Air Lines Inc.",1,5,12,2,226,2
"United Air Lines Inc.",11,7,13,-7,612,-29
"American Eagle Airlines Inc.",2,3,19,-5,489,-12
"Virgin America",6,2,10,-9,189,2
